1,2,3,4,5,6,7,8,9,10,win
skud,grakk,dirak,zuka,elsu,cresht,ishar,mina,batman,slimz,1
alice,paine,murad,qi,joker,valhein,gildur,veres,astrid,diaochan,0
murad,chaugnar,illumia,hayate,rourke,tulen,batman,astrid,ata,brunhilda,1
ybneth,amily,murad,krixi,valhein,rourke,tachi,brunhilda,ishar,zata,0
violet,arthur,alice,murad,zata,teeri,tulen,airi,aleister,zephys,0
tachi,helen,lauriel,laville,murad,illumia,alice,yorn,mina,skud,0
zuka,paine,lauriel,grakk,valhein,baldum,joker,dirak,enzo,yan,0
zuka,enzo,aleister,baldum,hayate,krixi,skud,florentino,elsu,grakk,1
lauriel,kriknak,murad,yorn,alice,taara,veera,brunhilda,mina,wukong,0
qi,zip,yan,zata,capheny,mina,lilianna,arthur,flash,hayate,1
toro,florentino,zata,omen,azzenka,errol,laville,nakroth,lauriel,krizzix,0
zata,florentino,batman,chaugnar,violet,raz,lumburr,tulen,allain,capheny,0
murad,skud,dirak,arum,brunhilda,flash,lumburr,natalya,violet,florentino,1
zuka,lauriel,slimz,mina,wukong,joker,taara,zanis,aleister,ishar,1
butterfly,violet,grakk,veera,zuka,wukong,sephera,lauriel,joker,aoi,0
krixi,kriknak,valhein,zuka,batman,mganga,nakroth,arthur,hayate,xeniel,1
valhein,diaochan,riktor,murad,lumburr,bonnie,mina,allain,yorn,veera,0
bonnie,telannas,veera,skud,bijan,enzo,natalya,aya,violet,ybneth,1
murad,bijan,valhein,sephera,arduin,capheny,azzenka,qi,alice,allain,0
violet,zip,kriknak,yue,zuka,elsu,rourke,maloch,kahli,mina,1
kahli,butterfly,hayate,alice,valhein,veres,violet,illumia,batman,thane,0
bonnie,ryoma,grakk,amily,yorn,valhein,natalya,omen,zip,zephys,1
wukong,hayate,alice,tulen,zephys,paine,lauriel,elandorr,zanis,gildur,0
hayate,zata,arduin,dirak,zata,allain,violet,diaochan,mina,zanis,1
kriknak,zata,slimz,aya,taara,aleister,valhein,arum,nakroth,yena,0
alice,zata,murad,telannas,nakroth,hayate,grakk,wukong,taara,aleister,1
violet,alice,yena,tulen,veera,elsu,murad,lumburr,hayate,bonnie,0
veera,murad,zuka,annette,laville,zata,telannas,quillen,grakk,mina,1
murad,illumia,yorn,amily,alice,valhein,krixi,xeniel,arum,nakroth,0
aleister,joker,allain,skud,zata,quillen,murad,ybneth,valhein,jinnar,0
wukong,valhein,marja,zata,lilianna,zuka,dirak,joker,lumburr,lindis,0
tulen,zata,violet,lilianna,veres,nakroth,ryoma,gildur,telannas,lauriel,0
batman,arthur,natalya,violet,ybneth,zata,florentino,tachi,joker,alice,0
lilianna,yena,wisp,ybneth,bright,valhein,tulen,allain,grakk,qi,1
veres,hayate,veera,lumburr,nakroth,alice,dirak,valhein,airi,paine,1
murad,qi,krixi,yorn,thane,elandorr,violet,flash,ata,xeniel,0
nakroth,laville,baldum,murad,lilianna,yue,valhein,chaugnar,zuka,yan,0
joker,azzenka,helen,qi,zuka,dirak,hayate,gildur,batman,taara,1
maloch,joker,zuka,arduin,lauriel,mina,skud,quillen,thorne,natalya,1
arduin,hayate,murad,mganga,paine,aya,zanis,kriknak,lilianna,joker,0
taara,zata,superman,capheny,wukong,telannas,veres,roxie,lauriel,violet,1
alice,sinestra,murad,iggy,brunhilda,yue,florentino,lumburr,violet,enzo,0
mina,nakroth,murad,dirak,elsu,kriknak,violet,yena,superman,krixi,0
brunhilda,alice,murad,amily,lilianna,teeri,kahli,xeniel,gildur,aoi,1
joker,zata,helen,kriknak,qi,hayate,lubu,aleister,alice,violet,1
ybneth,yorn,zata,flash,omen,slimz,mina,nakroth,dirak,skud,0
joker,lumburr,zata,nakroth,astrid,lorion,batman,annette,hayate,keera,0
